Date,Close,Volume,VIX_Close,ADR_Ret,SOX_Ret,FX_Ret,RSI_14,MACD,MACD_Signal,Ret_5D,Ret_10D,Ret_20D,Ret_42D,Vol_42D,Position_42D,PTT_Raw_Score,PTT_Volume,News_Raw_Score,News_Volume,Next_Day_Return,Target_Binary
2000-03-02,38.124027252197266,68745687934.0,21.059999465942383,-0.016260179397365793,-0.030899820845386783,0.0,53.31881287133125,0.08994424791201538,0.22983187084491907,0.041027199767002864,-0.03791583801420295,0.004948731348363822,0.1404465321598074,0.022533541591345924,0.6521638529966935,,0,,0,0.0,0
2000-03-03,38.124027252197266,58129351241.0,19.209999084472656,0.07438028538973018,0.06635804974432014,0.0,53.31881287133125,0.09637092393150937,0.20313822812208873,0.02009854366781605,-0.0240395798735058,0.004948731348363822,0.11538380409839988,0.0223351363176676,0.6521638529966935,,0,,0,-0.014778089020545893,0
2000-03-06,37.56062698364258,72312707991.0,21.5,-0.05384624345871181,0.026788531892631307,0.0,49.029342250965485,0.05665872396375704,0.1738410512183967,0.005023436579763896,0.025642807136036616,-0.00990249046458691,0.12359291178437704,0.022167007161910363,0.5869479975769534,,0,,0,-0.004998327797070434,0
2000-03-07,37.372886657714844,83737461434.0,24.309999465942383,-0.05792674965648614,0.016039649653384558,0.0,47.65357824086751,0.010337879617452472,0.1411392774076996,-0.009946637387379442,0.02051630818326311,-0.014851322368307884,0.15028966005025457,0.021657113184102024,0.5348839735877742,,0,,0,-0.005028540142275051,0
2000-03-08,37.18495559692383,64819045052.0,23.81999969482422,0.033440993213489145,-0.017068289878445664,0.0,46.25442011582724,-0.04067407225784336,0.10477559380303782,-0.03883618064349714,0.020616578154993848,-0.06161391063732247,0.10614259073368792,0.021125915370106153,0.5116125603687282,,0,,0,0.010102778951545321,1
2000-03-09,37.56062698364258,71897783191.0,22.209999084472656,-0.01565765406373476,0.03867412006131987,0.0,49.44956402639341,-0.05088182305916433,0.07364341615983629,-0.014778089020545893,0.025642807136036616,-0.06542140257981954,0.13636309078793118,0.020930559205633675,0.5365737658067858,,0,,0,-0.0250016935307531,0
2000-03-10,36.62154769897461,99978344966.0,21.239999771118164,-0.0562033329317988,0.03295593607444247,0.0,42.627492300376204,-0.1316075933060077,0.032592481893527314,-0.039410305298637094,-0.020103851372827664,-0.10959274853903145,0.07734379690525617,0.020987786245252216,0.41461464376898993,,0,,0,-0.06666459030351601,0
2000-03-13,34.1801872253418,232179364310.0,22.850000381469727,-0.011236250702008732,-0.0124781396358139,0.0,30.75022670763127,-0.3842299342984603,-0.05077319117951564,-0.08999955617814748,-0.08542822666105143,-0.14953306156123136,0.02247004839887068,0.023357763686129095,0.0,,0,,0,0.02197590637904745,1
2000-03-14,34.93132781982422,145477589021.0,24.40999984741211,-0.03636349524208693,-0.06554220905791486,0.0,36.60309495698749,-0.5188797954180941,-0.14439558100595026,-0.06532968299323538,-0.07462650971324858,-0.13488451979724048,0.02197590637904745,0.023346702459108366,0.10809646099452143,,0,,0,-0.016128687027399002,0
2000-03-15,34.3679313659668,154204016711.0,22.34000015258789,-0.04245280305061383,-0.023173739440888408,0.0,34.26390844049919,-0.6625974600314635,-0.24803690351081872,-0.07575709546336185,-0.11165115986241725,-0.14084817305430208,-0.021393497628037883,0.023099104632613582,0.027018213797916614,,0,,0,0.005467987857499468,1
2000-03-16,34.55585479736328,233438180185.0,20.770000457763672,0.08374365293900987,0.021459410283027225,0.0,35.739089827360274,-0.7528432517472083,-0.34899891093879243,-0.07999792409183837,-0.09359379666869627,-0.12796094744927466,0.0,0.022978634941602332,0.054062229287325875,,0,,0,0.03260809329466663,1
2000-03-17,35.682655334472656,267728113852.0,22.3700008392334,0.08181804909672463,0.02258127602273352,0.0,43.87242416626891,-0.7263538885143319,-0.42447034766041375,-0.02563770303263946,-0.06403761862760449,-0.08653776105320288,0.03260809329466663,0.023514293692267874,0.21621982162485434,,0,,0,-0.03157838245352729,0
2000-03-20,34.55585479736328,21190095663.0,22.959999084472656,-0.1344537886901439,-0.04094575017312119,0.0,38.60978259110169,-0.7859848448261602,-0.4967735852417233,0.010990799130057294,-0.07999792409183837,-0.05640648829457218,0.010990799130057294,0.02398245441444084,0.054062229287325875,,0,,0,0.05977837659420149,1
2000-03-21,36.62154769897461,447638099122.0,21.700000762939453,0.08616542853627007,-0.007445178525362639,0.0,50.36440729621232,-0.6609921916256312,-0.5296174294019148,0.04838693472714639,-0.020103851372827664,0.0,0.04838693472714639,0.025469716473986232,0.3513355943616112,,0,,0,-0.015384288465590923,0
2000-03-22,36.05815124511719,247260900862.0,21.489999771118164,0.00558642164023615,0.09217312354238483,0.0,47.68274620012825,-0.5999575528061811,-0.5436854961906775,0.04918014590846598,-0.030302694563385635,-0.010310854279164672,0.02127487624139457,0.02555583116493648,0.27025734716500643,,0,,0,0.04687441152685845,1
2000-03-23,37.748355865478516,280164605464.0,22.260000228881836,0.03222221981295137,-0.014924220410498679,0.0,55.36163384593315,-0.411908794827049,-0.5173300928092984,0.09238669067329308,0.004998023113876426,0.03076899359268359,0.0414468373520922,0.026237129585674757,0.5134942846434586,,0,,0,-0.014925160464271392,0
2000-03-24,37.18495559692383,189561198505.0,23.309999465942383,-0.020451810822281646,0.0018520118248217532,0.0,52.59070838543945,-0.3043949924268361,-0.47474299115212676,0.042101694741305096,0.015384600961717343,-0.005028540142275051,-0.03883618064349714,0.02417574510819229,0.4324154884746943,,0,,0,0.06565944586749861,1
2000-03-27,39.62649917602539,257812048419.0,24.530000686645508,0.05714266056230444,0.01394949905137488,0.0,61.56792813897476,-0.0237178860694911,-0.3845378318965953,0.14673763414033725,0.15934119713205086,0.06030073456595941,0.014423122933502786,0.02621622175684594,0.7837774334999575,,0,,0,-0.00947992216675464,0
2000-03-28,39.2508430480957,181779906634.0,24.860000610351562,-0.006237340294572347,-0.033926719752242374,0.0,59.69497527581945,0.16671763374324655,-0.27428660360101437,0.07179640169043733,0.123657344219823,0.039802718507039314,0.024506718246272152,0.026078480459992306,0.72971685112911,,0,,0,-0.02392050516586386,0
2000-03-29,38.31194305419922,105678469394.0,24.100000381469727,-0.04079500888445575,-0.053418638711169364,0.0,55.1769991886661,0.23969165028064765,-0.17149085200290215,0.06250436395812797,0.11475848360597052,-0.009705594055105515,0.004929064832496666,0.02634556080354425,0.5945999804480343,,0,,0,0.019606011841191595,1
2000-03-30,39.063087463378906,227815979813.0,25.469999313354492,-0.029443342636286896,-0.03559215049187303,0.0,57.92085831429614,0.35360826426164493,-0.06647094634741375,0.034828844005434734,0.13043325631636637,0.024631715977160296,0.029702343070544313,0.02649487390574203,0.7026969904147151,,0,,0,-0.014422634659595923,0
2000-03-31,38.49969482421875,127027740887.0,24.110000610351562,0.024718746553910487,0.026560917605453538,0.0,55.19182971671969,0.39417688257316996,0.02565867726740499,0.03535675130411309,0.07894702519586816,0.009853827076986788,0.014851322368307995,0.026601922310093583,0.6216192921902697,,0,,0,0.0,0
2000-04-03,38.49969482421875,0.0,24.030000686645508,-0.0438595701311697,-0.07367856522853344,0.0,55.19182971671969,0.4214621129498468,0.10481940415588821,-0.028435627048487122,0.11412943045345814,0.025001388847559092,0.014851322368307995,0.026601922310093583,0.6216192921902697,,0,,0,0.0,0
2000-04-04,38.49969482421875,0.0,27.1200008392334,-0.04587156647697077,-0.023675346757030535,0.0,55.19182971671969,0.43803027696370833,0.1714616054899244,-0.01913712332131412,0.0512853017759467,0.030150418318604766,0.014851322368307995,0.026601922310093583,0.6216192921902697,,0,,0,0.014633691039175334,1
2000-04-05,39.063087463378906,182695562287.0,28.40999984741211,0.03725938421122588,0.061624668422890494,0.0,57.682125829887205,0.49071630291911816,0.2353125654966705,0.019606011841191595,0.08333583709920878,0.05050784211802184,0.029702343070544313,0.026688277129022005,0.7026969904147151,,0,,0,-0.028845562283535964,0
2000-04-06,37.9362907409668,145596416273.0,27.149999618530273,0.04055657979250782,0.019219911449849914,0.0,51.51545951913274,0.43695386660063207,0.275640836086268,-0.028845562283535964,0.004978624132876419,0.010001530525244329,0.0,0.027084032765240885,0.540539947049346,,0,,0,-0.00990249046458691,0
2000-04-07,37.56062698364258,110518474790.0,24.389999389648438,-0.02115837168153134,0.05767061782955696,0.0,49.61119495842293,0.3600218194654943,0.2925170362333463,-0.02439156582574875,0.010102778951545321,0.025642807136036616,-0.05213360340528628,0.026205888183532963,0.4864782667341796,,0,,0,0.05000257457298907,1
2000-04-10,39.43875503540039,201610650952.0,25.989999771118164,-0.025028184308867663,-0.04537846856217265,0.0,57.975066060973106,0.44483053238319314,0.32297974047596756,0.02439136765808625,-0.004737843224328686,0.15384842029653356,-0.018690066567997543,0.027270779091417674,0.756759219702041,,0,,0,-0.023810594688872255,0
2000-04-11,38.49969482421875,117967570843.0,27.25,-0.01866970234742782,-0.030699785173353256,0.0,53.218547331810086,0.431584151522415,0.3447006255446023,0.0,-0.01913712332131412,0.10215377505258805,-0.0639279439443643,0.02725278570041316,0.6969802914648895,,0,,0,-0.02439156582574875,0
2000-04-12,37.56062698364258,128216408046.0,28.979999542236328,-0.09631417746471305,-0.08323099329076589,0.0,48.898105119913346,0.3416468346142949,0.3440898672942204,-0.03846240984266447,-0.01961049246428892,0.09289752076371349,-0.06542140257981954,0.027283998545058048,0.5454556645837483,,0,,0,-0.040001348730938635,0
2000-04-13,36.05815124511719,248891269216.0,29.399999618530273,-0.052631376228239324,-0.026982742884407163,0.0,42.897532692392694,0.1478396121840504,0.3048398129653759,-0.04950772622114674,-0.07692521030445443,0.04347444033908077,-0.10697741034797392,0.02791118657466725,0.3225647295573728,,0,,0,-0.03125017191350199,0
2000-04-14,34.93132781982422,239165097006.0,33.4900016784668,-0.11527777495441394,-0.1164108162819496,0.0,39.02920351780143,-0.09529114898238333,0.22481361518206897,-0.07000147161982684,-0.09268559194266135,-0.021055818509184365,-0.1267640232847974,0.028248710789354287,0.1379172917875831,,0,,0,-0.03763225619463406,0
