Date,TSMC_Close,TSMC_Volume,UMC_Close,UMC_Volume,UMC_PTT_Score,UMC_PTT_Volume,UMC_News_Score,UMC_News_Volume,TSMC_Ret_5D,TSMC_Ret_10D,TSMC_Ret_42D,TSMC_Vol_42D,TSMC_Position,UMC_Ret_5D,UMC_Ret_10D,UMC_Ret_42D,UMC_Vol_42D,UMC_Position
2021-03-16,556.7168579101562,36949425.0,36.451507568359375,111422575.0,0.10124311894178391,20,0.06986953253331392,46,0.021739020493804606,0.008250887120913042,0.1399254906816334,0.022249485474934792,0.5267171068899744,0.0444687077762016,-0.11162361270882515,0.05707999773178529,0.0322283858497375,0.1694220106415109
2021-03-17,550.7894897460938,39517807.0,36.225101470947266,113513587.0,0.10124311894178391,20,0.06986953253331392,46,0.030251822544899998,0.006568171861222938,0.13099604664372655,0.022215040392270412,0.5161288224588392,0.04207110282687809,-0.08349160706424208,0.04207110282687809,0.032133272171422776,0.18181844765278113
2021-03-18,548.9656982421875,29415526.0,35.50814437866211,159629688.0,0.10124311894178391,20,0.06986953253331392,46,0.015868200277490807,-0.024962593871877825,0.10468739613872002,0.0222605556847728,0.3840130229594377,0.03114939548249329,-0.07514453738152604,0.022364192831021423,0.032102521540350246,0.1570251558901561
2021-03-19,538.9347534179688,70866028.0,34.753456115722656,185099020.0,0.10124311894178391,20,0.06986953253331392,46,-0.007446260261561588,0.005765825324186569,0.06985005274756584,0.0218771915330799,0.2630673364103387,-0.03288810101583539,-0.04077475066267022,0.018398185750112095,0.03215718075795143,0.07851257794507804
2021-03-22,540.758544921875,34089033.0,36.376041412353516,175207196.0,0.10124311894178391,20,0.06986953253331392,46,-0.033517802395543805,-0.012611974112493152,0.02313834946000215,0.02173533154452886,0.10584305111187797,-0.06211813403056721,-0.021253948246109045,-0.037617633009307094,0.031854405024910264,0.0
2021-03-23,541.67041015625,29374037.0,36.60245132446289,175421526.0,0.10124311894178391,20,0.06986953253331392,46,-0.02548559147070506,-0.004300602772178919,0.019568824844011345,0.021717950377549484,0.054004635548824065,0.0010384354435275522,0.04555332110201182,-0.03599997492890117,0.03191649223623789,0.17695500814569393
2021-03-24,525.2562255859375,107253959.0,35.5836181640625,117428779.0,0.10124311894178391,20,0.06986953253331392,46,-0.027027109993379206,0.002407093216099554,0.009191945093727005,0.02164533165292594,0.06624917222342427,0.00414094686812172,0.046386263896489366,0.0010321098524603833,0.031560331680346485,0.20164669487844694
2021-03-25,524.3443603515625,67833354.0,36.71565246582031,161223209.0,0.10124311894178391,20,0.06986953253331392,46,-0.046357573329742996,-0.03122498431022691,-0.04403517713202043,0.02183373238785813,0.0,-0.01770825424462208,0.012889539823101037,-0.05699995187966522,0.03145451928124631,0.09053535264447998
2021-03-26,538.0227661132812,36829858.0,37.545806884765625,222415849.0,0.10124311894178391,20,0.06986953253331392,46,-0.0448504122743254,-0.051962704693253925,-0.02473884853708974,0.021589499301097905,0.0,0.03400651057067994,0.0,-0.025050128721541554,0.031856327756137684,0.2139921222236829
2021-03-29,546.2300415039062,37884733.0,37.243927001953125,156745319.0,0.10124311894178391,20,0.06986953253331392,46,-0.001692203553219751,-0.03515328700445375,-0.014282835638306679,0.021844787908219407,0.15746996324410314,0.08034742673491091,0.01323826048141341,0.020512678012046592,0.031833674194502,0.3045266428258818
2021-03-30,544.40625,33099123.0,38.18729782104492,167739158.0,0.10124311894178391,20,0.06986953253331392,46,0.010118187929553102,-0.015625271545148256,-0.00913842615305116,0.021919206255184988,0.2519546112805681,0.02385871457978017,0.02492192575816432,-0.006042478461714684,0.031741099031637215,0.2716043938488778
2021-03-31,535.2871704101562,38790886.0,37.88542175292969,184149925.0,0.10124311894178391,20,0.06986953253331392,46,0.005050746344000601,-0.022112870726366585,-0.043947708172889066,0.02129570573536889,0.23095856933767012,0.043298916854861424,0.04761916223712648,-0.04528295588714959,0.030195722723206656,0.37448600588087483
2021-04-01,548.9656982421875,43091157.0,38.1118278503418,85652901.0,0.10124311894178391,20,0.06986953253331392,46,0.019097241185535685,-0.028145633902861622,-0.08902044725759695,0.020788111569359488,0.12597695431265207,0.06468717088449094,0.04583341977148114,-0.03646823628165052,0.030108428092118285,0.34156417292501134
2021-04-07,556.2609252929688,24603109.0,38.86651611328125,103137220.0,0.10124311894178391,20,0.06986953253331392,46,0.04695642740224559,0.0,-0.1018348155702733,0.02017741758337435,0.3165436915449667,0.03802670770514638,0.0733263739133696,-0.06481483388245002,0.029559249390207872,0.3662554436366238
2021-04-08,558.9967041015625,23976625.0,40.75324249267578,346491365.0,0.10124311894178391,20,0.06986953253331392,46,0.033898489670690646,0.032148922972801364,-0.05624361144584522,0.019612510540693687,0.4103346184056994,0.03517594474848029,0.11834966812690095,-0.08849559184709777,0.028794367243879612,0.44855981801571226
2021-04-09,556.2609252929688,27303862.0,39.99855041503906,212893788.0,0.10124311894178391,20,0.06986953253331392,46,0.023372318670914716,0.03372699211312957,-0.027629826720755424,0.01927757567650878,0.445507098762768,0.09422517369177053,0.12033197979689292,-0.05594409054975402,0.02975341216881081,0.6543213779951442
2021-04-12,551.7013549804688,22606128.0,40.45136260986328,135751176.0,0.10124311894178391,20,0.06986953253331392,46,0.02177542100769192,0.026936149479736216,-0.00729655811981722,0.018890945132363755,0.4103346184056994,0.047430760942607675,0.09278337837188566,-0.032846782655664986,0.029179582070044417,0.5720165875949152
2021-04-13,551.7013549804688,25971622.0,41.055118560791016,425653445.0,0.10124311894178391,20,0.06986953253331392,46,0.030664259256830917,0.05034710319717006,-0.012231767254492598,0.018927120567529796,0.3517146025077352,0.06772897695761215,0.13679734374839203,-0.02189791659595064,0.029235436715755417,0.6213991290181402
