Date,Close,Volume,VIX_Close,RSI_14,MACD,MACD_Signal,Next_Day_Return,Target_Up,PTT_Score,PTT_Volume,Yahoo_Score,Yahoo_Volume,News_Score,News_Volume,ADR_Ret,SOX_Ret,FX_Ret
2021-01-21,611.2078857421875,89019137,21.31999969482422,92.02457174875596,24.948953419594204,15.877243974621493,-0.0356610675222662,0,0.52,7.0,1.05,4.0,0.32,2.0,-0.0024015161615658087,-0.005026910118436478,-0.002676745087444643
2021-01-22,589.4115600585938,125179403,21.90999984741211,80.21396601183541,26.050758832723545,17.9119469462419,-0.0246534117144401,0,0.48,3.0,1.4,4.0,0.81,8.0,-0.0008956304875132881,0.026944430539224795,0.015276911228297108
2021-01-25,574.8805541992188,93050133,23.190000534057617,73.09646877975968,25.457953388897863,19.421148234773096,-0.0252763529448362,0,-0.34,2.0,1.17,4.0,0.0,0.0,0.0024668330598713872,-0.03741796621771931,-0.018444088594231633
2021-01-26,560.3496704101562,100153482,23.020000457763672,66.50487242309663,23.544226731628896,20.245763934144257,-0.0032415585230387,0,0.72,4.0,1.59,3.0,1.19,5.0,-0.00025753041093057316,0.010685925759750026,0.0015645520252856038
2021-01-27,558.5332641601562,59985191,37.209999084472656,63.02084500100808,21.63165945904916,20.52294303912524,-0.0227643749448831,0,1.08,3.0,0.64,7.0,0.71,5.0,-0.001130491485045626,-0.02965057439493657,-0.015406530249014394
2021-01-28,545.818603515625,96447533,30.209999084472656,55.49736138194762,18.872419755794112,20.192838382459016,-0.0166388376117616,0,0.55,6.0,1.26,5.0,1.0,5.0,-7.166220309284821e-05,-0.038768336637326595,-0.051666233160709396
2021-01-29,536.73681640625,90745237,33.09000015258789,51.77663797058979,15.771078911119504,19.30848648819111,0.0338408596144417,1,-0.24,2.0,0.84,1.0,-0.1,3.0,0.0005373342428047767,0.03359629159751676,0.020865225857663372
2021-02-01,554.9004516601562,67462398,30.239999771118164,54.76189790417159,14.610477028439618,18.368884596240814,0.0343702775199969,1,-0.35,1.0,1.07,7.0,0.7,8.0,-1.433942665640675e-05,-0.034252681716560485,-0.016367316206647442
2021-02-02,573.9725341796875,78429188,25.559999465942383,56.22126337996849,15.056092084554052,17.706326093903463,-0.0031649412598897,0,0.51,3.0,1.29,7.0,0.96,11.0,0.0024487312054366495,0.04229774841666556,0.03910868734292383
2021-02-03,572.1559448242188,48738970,22.90999984741211,59.22327974939498,15.08872818181942,17.182806511486657,-0.0047616848066976,0,0.0,0.0,1.14,3.0,1.16,4.0,-0.0018106222993248267,0.01405343046761498,0.015780081948515656
2021-02-04,569.4315185546875,46371900,21.770000457763672,56.50002587416018,14.725013305676498,16.691247870324627,0.0079746474809225,1,0.65,3.0,0.97,10.0,0.5,4.0,-0.003302304960001723,-0.007318590734997632,-0.021152930363605993
