Date,Yahoo_Score,Yahoo_Volume
2021-08-31,0.99,4
2021-09-01,0.12,2
2021-09-01,0.94,1
2021-09-02,0.98,2
2021-09-03,0.95,2
2021-09-05,0.26,4
2021-09-06,-0.82,2
2021-09-07,0.94,3
2021-09-09,0.41,1
2021-09-10,0.59,3
2021-09-11,0.48,3
2021-09-12,1.07,2
2021-09-13,1.04,6
2021-09-14,-0.06,3
2021-09-15,1.17,1
2021-09-16,0.17,2
2021-09-17,1.33,2
2021-09-18,0.74,1
2021-09-20,0.42,2
2021-09-21,0.95,2
2021-09-22,0.57,4
2021-09-23,0.6,3
2021-09-24,-0.24,2
2021-09-25,0.96,1
2021-09-26,0.92,2
2021-09-27,0.83,2
2021-09-28,0.84,29
2021-09-29,1.01,5
2021-09-30,1.17,6
2021-10-01,1.41,3
2026-02-28,0.87,1
2021-10-01,1.12,4
2021-10-02,0.13,1
2021-10-03,0.8,3
2021-10-04,1.34,3
2021-10-05,0.58,3
2021-10-06,0.56,5
2021-10-07,1.43,1
2021-10-08,0.7,5
2021-10-09,0.84,3
2021-10-11,1.21,2
2021-10-12,1.57,1
2021-10-13,0.7,3
2021-10-14,0.48,3
2021-10-15,1.19,1
2021-10-17,1.53,1
2021-10-18,1.37,4
2021-10-19,1.12,4
2021-10-20,0.6,4
2021-10-21,0.37,6
2021-10-22,0.69,3
2021-10-24,0.4,6
2021-10-25,1.0,8
2021-10-26,0.85,4
2021-10-27,0.86,6
2021-10-28,0.42,4
2021-10-29,1.12,5
2021-10-31,1.12,2
2021-11-01,1.4,5
2021-11-01,1.4,5
2021-11-02,-0.28,2
2021-11-04,1.38,6
2021-11-05,0.82,4
2021-11-06,0.48,1
2021-11-08,1.05,5
2021-11-09,1.3,6
2021-11-10,1.12,3
2021-11-11,1.15,3
2021-11-12,1.06,6
2021-11-14,1.76,1
2021-11-15,1.49,4
2021-11-16,1.18,5
2021-11-17,1.41,1
2021-11-18,0.8,8
2021-11-19,0.87,4
2021-11-20,1.26,2
2021-11-21,1.72,1
2021-11-22,0.98,6
2021-11-23,1.17,1
2021-11-24,1.33,5
2021-11-25,1.11,4
2021-11-26,0.97,3
2021-11-27,0.21,1
2021-11-28,0.99,3
2021-11-29,0.38,1
2021-11-30,0.63,6
2021-12-01,0.66,3
2021-06-11,0.83,6
2021-09-20,1.64,1
2021-09-28,1.04,6
2021-09-30,0.17,1
2021-10-03,1.45,1
2021-12-01,1.11,3
2021-12-02,1.07,4
2021-12-03,1.06,3
2021-12-05,0.42,1
2021-12-06,1.16,2
2021-12-07,1.0,5
2021-12-09,0.62,4
2021-12-10,0.93,3
2021-12-12,0.06,2
2021-12-13,0.64,3
2021-12-14,0.96,8
2021-12-15,1.26,3
2021-12-16,0.19,3
2021-12-17,1.1,1
