Date,News_Score,News_Volume
2021-09-15,1.28,3
2021-09-16,0.75,3
2021-09-17,1.1,5
2021-09-18,1.14,3
2021-09-20,0.82,1
2021-09-22,1.01,7
2021-09-23,1.46,3
2021-09-24,1.37,6
2021-09-25,1.31,1
2021-09-27,0.97,4
2021-09-28,1.12,4
2021-09-30,0.67,2
2021-10-01,1.19,6
2025-03-02,1.05,1
2025-07-07,-0.48,1
2025-11-04,-1.2,1
2026-02-05,-1.46,1
2026-02-13,1.3,1
2026-02-24,-0.16,1
2026-03-01,0.68,1
2026-03-15,-0.06,1
2026-03-16,0.72,2
2026-03-18,0.29,1
2026-03-19,-0.66,2
2021-10-01,1.1,4
2021-10-04,1.43,4
2021-10-05,0.83,5
2021-10-06,0.69,3
2021-10-07,0.88,5
2021-10-10,1.27,2
2021-10-12,1.4,3
2021-10-13,0.84,2
2021-10-14,1.05,6
2021-10-15,1.05,3
2021-10-16,-0.7,1
2021-10-17,1.63,1
2021-10-18,1.14,4
2021-10-19,0.58,4
2021-10-20,0.8,7
2021-10-21,0.87,10
2021-10-22,0.9,2
2021-10-23,0.57,1
2021-10-24,1.05,3
2021-10-25,0.5,3
2021-10-26,0.46,5
2021-10-27,1.23,3
2021-10-28,1.38,4
2021-10-29,1.07,6
2021-10-30,0.98,2
2021-10-31,-0.85,1
2021-11-01,1.49,3
2023-08-18,0.62,1
2023-10-29,0.68,1
2026-03-18,0.26,1
2021-11-01,1.3,2
2021-11-02,0.85,3
2021-11-03,0.86,4
2021-11-04,1.55,4
2021-11-05,1.0,2
2021-11-06,1.9,2
2021-11-08,0.74,5
2021-11-09,0.44,1
2021-11-10,1.35,5
2021-11-11,1.15,6
2021-11-12,0.85,2
2021-11-14,0.94,3
2021-11-15,0.01,2
2021-11-16,1.67,1
2021-11-17,0.76,5
2021-11-18,0.56,5
2021-11-19,1.13,6
2021-11-20,1.43,1
2021-11-22,0.99,3
2021-11-23,1.49,4
2021-11-24,1.44,4
2021-11-25,1.03,10
2021-11-26,0.78,2
2021-11-29,1.26,6
2021-11-30,0.94,6
2021-12-01,1.19,5
2023-09-07,0.21,1
2021-12-01,1.13,6
2021-12-02,0.7,11
2021-12-03,1.22,1
2021-12-04,0.72,3
2021-12-06,1.15,4
2021-12-07,1.01,3
2021-12-08,1.7,1
2021-12-09,0.35,3
2021-12-10,-0.09,2
2021-12-11,1.29,4
2021-12-12,0.46,2
2021-12-13,1.09,3
2021-12-14,1.09,5
2021-12-15,1.13,7
2021-12-16,1.09,9
2021-12-17,0.9,6
2021-12-20,0.27,3
2021-12-21,0.53,1
2021-12-22,0.87,4
2021-12-23,0.91,3
2021-12-24,0.96,1
2021-12-25,1.08,3
2021-12-26,1.2,1
2021-12-27,1.42,1
2021-12-28,0.7,4
2021-12-29,1.02,7
2021-12-30,0.94,1
2021-12-31,1.64,1
2022-01-02,1.13,1
2022-01-03,0.78,6
2022-01-04,1.19,4
2022-01-05,0.86,5
2022-01-06,0.86,6
2022-01-07,0.75,5
2022-01-09,1.18,2
2022-01-10,1.61,2
2022-01-11,0.69,1
2022-01-12,1.06,3
2022-01-13,0.64,5
2022-01-14,0.94,3
2022-01-16,0.51,3
2022-01-17,0.82,9
2022-01-18,1.4,2
2022-01-19,1.2,7
2022-01-20,1.1,6
2022-01-21,1.8,1
2022-01-23,1.2,2
2022-01-24,0.74,2
2022-01-25,1.07,7
2022-01-26,1.0,4
2022-01-27,0.98,3
2022-01-28,0.65,5
2022-01-29,0.89,1
2022-01-30,1.02,2
2022-01-31,0.74,1
2022-02-01,1.82,1
2025-09-26,0.54,1
2022-02-01,1.82,1
2022-02-02,1.4,1
2022-02-03,1.68,1
2022-02-05,0.8,2
2022-02-06,1.73,1
2022-02-07,1.34,2
2022-02-08,0.99,3
2022-02-09,1.16,3
2022-02-10,1.38,5
2022-02-11,0.72,2
2022-02-12,1.97,1
2022-02-13,0.51,1
2022-02-14,1.34,8
2022-02-15,1.02,4
2022-02-16,0.89,11
2022-02-17,1.44,5
2022-02-18,1.19,6
2022-02-19,0.94,1
2022-02-20,1.12,2
2022-02-21,1.01,5
2022-02-22,1.08,3
2022-02-23,1.36,8
2022-02-24,1.21,7
2022-02-25,0.76,7
2022-02-26,-0.33,2
2022-02-28,0.78,2
2022-03-01,0.5,6
2022-03-01,0.24,3
2022-03-02,0.84,4
2022-03-03,1.12,4
2022-03-04,0.99,5
2022-03-05,1.18,1
2022-03-06,0.72,2
2022-03-07,0.67,3
2022-03-08,0.09,3
2022-03-09,1.48,1
2022-03-10,1.4,2
2022-03-11,0.93,2
2022-03-12,0.86,3
2022-03-15,0.92,3
2022-03-16,1.11,4
2022-03-17,0.78,4
2022-03-18,1.14,4
2022-03-19,1.76,1
2022-03-20,1.1,3
2022-03-21,1.54,4
2022-03-22,1.47,3
2022-03-23,1.43,2
2022-03-24,0.58,3
2022-03-25,1.42,3
2022-03-26,1.33,2
2022-03-27,-0.11,1
2022-03-28,0.23,3
2022-03-29,0.98,10
2022-03-30,0.92,7
2022-03-31,1.26,3
2022-04-01,1.08,4
2024-06-01,0.39,1
2026-03-15,0.78,1
2026-03-16,1.27,1
2022-04-01,1.08,5
2022-04-04,-0.79,1
2022-04-05,1.32,1
2022-04-06,0.53,2
2022-04-07,0.88,6
2022-04-08,0.76,2
2022-04-11,0.68,2
2022-04-12,0.42,6
2022-04-13,1.08,6
2022-04-14,0.25,5
2022-04-15,1.82,4
2022-04-16,1.5,1
2022-04-17,0.6,1
2022-04-18,0.95,6
2022-04-19,1.3,5
2022-04-20,1.38,7
2022-04-21,0.62,3
2022-04-22,0.28,2
2022-04-23,1.76,1
2022-04-24,0.48,1
2022-04-25,0.64,9
2022-04-26,1.15,3
2022-04-27,0.47,8
2022-04-28,0.15,5
2022-04-29,0.94,3
2022-04-30,0.31,3
2024-06-16,0.26,1
2026-03-16,1.82,1
2022-05-03,0.43,3
2022-05-04,1.4,3
2022-05-05,1.09,8
2022-05-09,0.87,3
2022-05-10,0.54,4
2022-05-11,1.57,2
2022-05-12,1.08,3
2022-05-13,0.97,2
2022-05-16,1.16,5
2022-05-17,1.0,2
2022-05-18,1.2,9
2022-05-19,1.25,4
2022-05-20,1.19,4
2022-05-21,0.24,2
2022-05-22,1.05,2
2022-05-23,0.16,3
2022-05-24,0.49,6
2022-05-25,0.7,8
2022-05-26,1.24,4
2022-05-27,0.79,7
2022-05-28,1.36,3
2022-05-30,1.04,2
2022-05-31,1.54,2
2022-06-01,0.6,5
2023-03-22,1.17,2
2023-03-23,1.38,1
2025-09-05,-0.3,1
2022-06-01,0.62,5
2022-06-02,0.87,9
2022-06-03,1.66,1
2022-06-04,0.62,1
2022-06-05,0.15,1
2022-06-06,0.86,3
2022-06-07,0.9,3
2022-06-08,0.69,4
2022-06-09,0.56,4
2022-06-11,0.64,1
2022-06-13,1.05,3
2022-06-14,0.15,4
2022-06-15,1.38,6
2022-06-16,0.81,5
2022-06-17,1.22,3
2022-06-20,0.5,5
2022-06-21,1.5,3
2022-06-22,1.04,9
2022-06-23,1.03,7
2022-06-24,0.89,3
2022-06-25,1.42,2
2022-06-27,0.48,1
2022-06-28,0.98,5
2022-06-29,0.69,4
2022-06-30,1.34,4
2022-07-01,0.71,3
2025-02-12,0.13,1
2019-11-25,0.94,1
2022-07-01,1.2,2
2022-07-02,0.6,1
2022-07-03,1.95,1
2022-07-04,0.52,7
2022-07-05,0.32,4
2022-07-06,0.52,3
2022-07-07,0.56,4
2022-07-08,1.19,6
2022-07-10,0.52,2
2022-07-11,1.45,1
2022-07-12,1.08,3
2022-07-13,-0.31,5
2022-07-14,1.4,2
2022-07-15,1.19,6
2022-07-17,1.24,4
2022-07-18,0.89,4
2022-07-19,1.08,4
2022-07-20,0.6,3
2022-07-21,0.46,1
2022-07-22,0.6,4
2022-07-23,-0.03,1
2022-07-24,1.21,3
2022-07-25,1.34,5
2022-07-26,1.02,4
2022-07-27,-0.91,3
2022-07-28,0.93,5
2022-07-29,0.15,1
2022-07-30,0.96,2
2022-07-31,1.29,3
2022-08-01,0.72,1
2023-09-07,0.49,1
2024-08-17,-0.11,1
2025-08-30,1.6,1
2025-12-11,1.15,1
2022-08-01,0.8,2
2022-08-02,1.04,6
2022-08-03,1.08,5
2022-08-04,1.31,1
2022-08-05,0.88,5
2022-08-06,1.04,3
2022-08-08,1.09,4
2022-08-09,0.85,7
2022-08-10,0.33,1
2022-08-11,0.25,4
2022-08-12,0.62,4
2022-08-14,1.11,1
2022-08-15,1.3,3
2022-08-16,1.24,1
2022-08-17,0.83,4
2022-08-18,0.38,4
2022-08-19,0.51,7
2022-08-21,0.42,1
2022-08-22,1.03,2
2022-08-23,1.05,2
2022-08-24,1.55,5
2022-08-25,1.21,5
2022-08-27,1.41,2
2022-08-28,0.85,1
2022-08-29,0.69,2
2022-08-30,0.94,4
2022-08-31,1.22,5
2022-09-01,0.87,6
2024-09-15,0.08,1
2025-08-05,1.18,1
2025-08-24,1.81,1
2022-09-01,0.87,6
2022-09-02,0.9,6
2022-09-04,0.42,2
2022-09-05,1.42,2
2022-09-06,0.64,5
2022-09-07,1.1,5
2022-09-08,0.96,1
2022-09-10,0.57,1
2022-09-11,0.86,1
2022-09-12,1.12,2
2022-09-13,1.0,8
2022-09-14,0.97,9
2022-09-15,1.1,6
2022-09-16,1.38,1
2022-09-17,0.76,5
2022-09-18,1.16,3
2022-09-19,1.24,1
2022-09-20,1.26,1
2022-09-21,1.46,2
2022-09-22,1.39,6
2022-09-23,0.46,1
2022-09-25,0.95,3
2022-09-26,0.62,3
2022-09-27,0.64,3
2022-09-28,0.11,5
2022-09-29,0.49,6
2022-09-30,0.8,2
2022-10-17,0.67,1
2024-09-11,0.28,1
2024-10-04,-0.44,1
2026-01-26,1.62,1
2022-10-02,0.56,4
2022-10-03,0.3,3
2022-10-04,0.39,2
2022-10-05,0.89,5
2022-10-06,0.69,2
2022-10-07,0.86,5
2022-10-09,0.48,3
2022-10-11,0.11,4
2022-10-12,0.96,5
2022-10-13,1.28,4
2022-10-14,0.51,1
2022-10-16,2.09,1
2022-10-17,0.91,2
2022-10-18,1.47,5
2022-10-19,0.44,4
2022-10-20,0.75,7
2022-10-21,0.36,3
2022-10-23,0.48,1
2022-10-24,0.35,6
2022-10-25,0.99,5
2022-10-26,1.12,4
2022-10-27,1.06,4
2022-10-28,1.03,6
2022-10-29,0.86,3
2022-10-30,1.17,2
2022-10-31,0.67,4
2022-11-01,0.16,3
2024-11-09,0.0,1
2026-03-18,0.62,1
2022-11-01,0.16,3
2022-11-02,1.0,6
2022-11-03,1.74,1
2022-11-04,1.3,2
2022-11-05,-0.22,3
2022-11-06,-0.19,1
2022-11-07,1.13,1
2022-11-08,0.44,2
2022-11-09,0.9,5
2022-11-10,0.76,4
2022-11-11,1.14,3
2022-11-13,0.05,1
2022-11-14,0.9,2
2022-11-15,1.05,5
2022-11-16,1.13,5
