Date,Close,Volume,VIX_Close,ADR_Ret,SOX_Ret,FX_Ret,RSI_14,MACD,MACD_Signal,Ret_5D,Ret_10D,Ret_20D,Ret_42D,Vol_42D,Position_42D,Next_Day_Return,Target_Binary,PTT_Score,PTT_Volume,News_Score,News_Volume
2016-03-03,116.52049255371094,28822000.0,16.700000762939453,-0.0024372513437260768,0.0009016136731045954,0.035256439854321364,71.0526343721375,2.10646185324201,1.9715527809781108,0.0337835904381798,0.0337835904381798,0.04794521683254138,0.09677416090459179,0.013567878664715899,1.0,-0.00974027036961811,0,0.016939663887023927,20,0.016505164759499685,84
2016-03-04,115.38555145263672,32794000.0,16.860000610351562,0.0036648596331965155,0.010452065283889533,-0.04694661241898612,69.23071354330953,2.081870778072158,1.9936163803969205,0.02325561139670418,0.019867639885128963,0.05479463218665792,0.11594211582038394,0.013423991131713496,1.0,-0.003278802339224618,0,0.016939663887023927,20,0.016505164759499685,84
2016-03-07,115.0072250366211,23906000.0,17.350000381469727,0.002028486662309703,0.0031662069626721134,-0.0007234977477315052,62.856938719301745,2.008699358036722,1.9966329759248809,0.023490074819772166,0.009933853331423492,0.044520647284737924,0.12546104728988583,0.013166936895193196,0.9333332437027815,0.0,0,0.016939663887023927,20,0.016505164759499685,84
2016-03-08,115.0072250366211,35683000.0,18.670000076293945,-0.0020243802340056405,-0.022476532258961957,0.038623750201208784,61.76457155330057,1.9284801616210814,1.983002413064121,0.020134253168279992,0.006622479850658225,0.041095870543052415,0.14285693707277614,0.01276895625470918,0.9111102446824434,0.0065789774825602,1,0.016939663887023927,20,0.016505164759499685,84
2016-03-09,115.76385498046875,24004000.0,18.34000015258789,0.003651074503539631,0.008244400064439938,-0.03294432553502591,56.66662409241213,1.9040113261992957,1.9672041956911561,0.0,0.01672224583641846,0.041095870543052415,0.13432837280960874,0.012760544888067379,0.9111102446824434,0.009804065008501617,1,0.016939663887023927,20,0.016505164759499685,84
2016-03-10,116.89881134033203,28302000.0,18.049999237060547,0.0,0.005145580328779653,0.04074210851562876,60.606053198627684,1.9536802807018034,1.9644994126932858,0.0,0.0337835904381798,0.04794521683254138,0.15037576712756562,0.012661036238872062,0.9555548982648422,0.003236227579125339,1,0.016939663887023927,20,0.016505164759499685,84
2016-03-11,117.2771224975586,29566000.0,16.5,0.024656507092696955,0.01942527951161299,-0.0040954464636281385,61.764684948017255,2.000509208814975,1.9717013719176237,0.0032468004411043694,0.026577918167149495,0.05821933986371608,0.16165412593268913,0.012686822269912886,1.0,0.006451641443226963,1,0.016939663887023927,20,0.016505164759499685,84
2016-03-14,118.03375244140625,32751000.0,16.920000076293945,-0.005128136303331643,-0.004232847347294011,-0.041908497552258894,69.69682710406023,2.0747586584548543,1.99231282922507,0.01639348272906016,0.04026864168469446,0.06164397847614711,0.16104868319790944,0.012686971136249996,1.0,-0.009615394559599588,0,0.016939663887023927,20,0.016505164759499685,84
2016-03-15,116.89881134033203,28689000.0,16.84000015258789,-0.01348146238610648,-0.0014321664910051934,0.0035662109279768206,69.69678451148616,2.018750718816875,1.9976004071434312,0.0263159762686338,0.04698008196547687,0.07586212843500029,0.18631180339956654,0.012346188041997292,1.0,0.009708748002321688,1,0.016939663887023927,20,0.016505164759499685,84
2016-03-16,118.03375244140625,30962000.0,14.989999771118164,0.03617362509602007,0.008818952310328143,0.034938207758066664,67.74172563260032,2.0424007602823053,2.006560477771206,0.016447543213990334,0.016447543213990334,0.04745734486367437,0.12773732136863858,0.010995153168445609,0.9302325472326392,0.01602587305732306,1,0.016939663887023927,20,0.016505164759499685,84
