期間,測試開始,測試結束,測試天數,① 純NLP情緒版(%),② 純技術大盤版(%),③ 大盤+新聞版(%),④ 大盤+PTT版(%),⑤ 終極完全體(%),永遠猜漲(%),最佳模型,最佳準確度(%),Alpha(最佳-猜漲)
2021全年,2021-01-01,2021-12-31,261,54.8,64.4,63.6,62.5,65.9,42.5,⑤ 終極完全體,65.9,23.4
2022全年,2022-01-01,2022-12-31,260,53.8,70.0,70.8,71.9,72.3,41.9,⑤ 終極完全體,72.3,30.4
2023全年,2023-01-01,2023-12-31,260,56.2,68.8,70.4,69.6,71.9,44.2,⑤ 終極完全體,71.9,27.7
2024全年,2024-01-01,2024-12-31,262,48.1,68.7,69.1,68.3,68.3,49.2,③ 大盤+新聞版,69.1,19.8
2025全年,2025-01-01,2025-12-31,259,55.2,63.7,63.3,63.7,63.7,45.9,② 純技術大盤版,63.7,17.8
2025/04-2026/04,2025-04-01,2026-04-30,270,54.4,62.6,63.7,64.4,63.0,47.4,④ 大盤+PTT版,64.4,17.0
