期間,訓練開始,訓練結束,測試開始,測試結束,測試天數,永遠猜漲(%),⑤完全體準確度(%),IMP_RSI_14,IMP_MACD,IMP_MACD_Signal,IMP_Ret_5D,IMP_Ret_10D,IMP_Ret_20D,IMP_Ret_42D,IMP_Vol_42D,IMP_Position_42D,IMP_Volume,IMP_VIX_Close,IMP_SOX_Ret,IMP_ADR_Ret,IMP_FX_Ret,IMP_News_Raw_Score,IMP_News_Volume,IMP_PTT_Raw_Score,IMP_PTT_Volume
2021全年,2016-01-01,2020-12-31,2021-01-01,2021-12-31,261,42.5,65.9,4.9,3.76,3.81,4.83,4.87,4.07,4.67,4.01,4.74,4.9,4.14,15.04,18.14,4.18,4.25,3.23,3.42,3.01
2022全年,2017-01-01,2021-12-31,2022-01-01,2022-12-31,260,41.9,72.3,4.33,3.39,3.94,4.16,4.56,3.91,4.11,4.3,4.13,4.57,3.84,15.97,20.87,4.38,3.97,3.59,3.36,2.63
2023全年,2018-01-01,2022-12-31,2023-01-01,2023-12-31,260,44.2,71.9,3.75,3.27,3.76,3.96,4.11,3.44,3.84,4.66,3.89,4.13,3.82,20.03,20.14,3.71,4.11,3.64,3.28,2.46
2024全年,2019-01-01,2023-12-31,2024-01-01,2024-12-31,262,49.2,68.3,4.01,3.02,3.94,3.44,4.04,3.03,3.61,4.24,3.42,4.21,3.66,18.38,23.15,3.76,4.49,3.51,3.62,2.47
2025全年,2020-01-01,2024-12-31,2025-01-01,2025-12-31,259,45.9,63.7,3.98,3.52,3.66,3.11,3.42,3.24,3.62,4.39,3.13,4.38,3.73,19.61,23.19,3.3,4.17,3.57,3.4,2.59
2025/04-2026/04,2020-04-01,2025-03-31,2025-04-01,2026-04-30,270,47.4,63.0,3.6,3.57,3.32,3.09,3.59,3.46,3.63,3.98,3.16,4.23,3.72,19.53,24.25,3.13,4.11,3.35,3.3,2.99
